ID,REST: Monthly Sales MOD,REST: Monthly rent MOD,REST: Monthly Expenses MOD,REST: Dividends MOD,REST: Staff size MOD,REST: No Wtr MOD,REST: No Ktch Wkr MOD,REST: No tables MOD,REST: Total Capital MOD,REST: Total Partners MOD,REST: No Act Part MOD,REST:  No Pass Part MOD,REST: Applicant invest yr MOD,LRC: Did the applicant apply for Laborer's Return Certificate? MOD,MRC: Did the applicant apply for Merchant's Return Certificate? MOD,MRC: Total number of witnesses
V0EE6,,52,,10,,,,,12000,24,9,15,1917,0,1,2
MP2U2,18333,1125,,,,,,150,,80,5,75,1920,0,1,2
JGBO1,,,,,,,,,,,,,1920,1,0,
WZIAI,,,,,,,,,,,,,,0,0,
I4QP3,3333,,,,,,,,5000,7,3,4,1926,0,1,3
EJM3W,,,,,,,,,,,,,,0,0,
HQO9M,,,,,,,,,,,,,1902,1,0,
BRI1I,,,,,,,,,,,,,,1,0,
NL01Y,,,,,,,,,,,,,1902,1,0,
C97FZ,833,90,3000,,,,,,6500,8,3,5,1913,0,1,4
BBKKG,,,,,,,,,,,,,,1,0,
D1UVC,,,,,,,,,,,,,,0,0,
UBMP1,5000,350,,,,,,54,30000,31,8,23,1922,0,1,4
KUKFJ,,,,,,,,,,,,,,0,0,
XJR2M,1600,125,,,,,,36,15000,6,3,3,1921,0,1,2
808CX,9000,285,,50,9,4,5,39,8000,7,,,1914,0,1,2
48MY6,5000,285,,50,16,8,8,39,8000,7,4,3,1914,0,1,2
YS3EJ,,,,,,,,,,,,,,0,1,2
JS7AS,6000,,,,14,9,5,,11000,5,,,1917,1,0,
KTUAO,,,,,,,,,11000,,,,1917,0,0,
TOHTT,,,,,,,,,,,,,,0,0,
94BE5,7000,325,,,7,,,36,30000,15,4,11,1922,0,1,2
AG1QP,9167,80,,,30,,,,30000,30,14,16,1915,0,1,4
P0ZJY,5000,225,,15,9,5,2,30,26000,17,5,12,1920,0,1,2
3298N,,,,,,,,,,,,,,1,0,
UXFXW,2500,75,,10,6,3,3,13,8000,4,1,3,1921,0,1,2
TY3KA,,,,,,,,,,,,,,0,0,
YJKER,,,,,,,,,,,,,,0,0,
W6OYG,5000,275,,,7,3,4,35,16500,40,1,39,1920,0,1,
UT8G7,1500,150,,10,,,,,6000,7,3,4,1921,0,1,3
FGUYX,,,,,,,,,,,,,,0,0,
M9J7T,,,,,,,,,,,,,,0,0,
R2UJC,,,,,,,,,,,,,,0,0,
URBMZ,4000,400,,10,9,5,4,25,9000,10,2,8,1919,0,1,2
6B984,,,,,,,,,,,,,,0,0,
4F50G,,,,,,,,,,,,,,0,0,
RX0FG,,,,,,,,,,,,,,0,0,
WGGVE,,,,,,,,,,,,,,0,0,
5HQ8B,,,,,,,,,,,,,,0,0,
IJNRX,,500,,,28,12,16,29,11000,28,,,1916,0,1,2
2MSG4,5000,150,,10,,4,,42,17000,8,5,3,1918,0,1,3
KLYTT,5000,150,,10,8,4,4,42,175000,12,4,8,1918,0,1,2
1FTJH,2500,300,,10,,,,,15500,42,1,41,1917,0,1,2
5FTXP,4167,167,,15,5,4,1,22,10000,5,5,0.001,1919,0,1,2
RUHGF,7000,625,,10,24,10,14,64,38500,40,3,37,1921,0,1,2
Z6BMU,1000,50,,,,,,,5000,1,1,0.001,1918,0,1,2
RREOT,5833,500,,,,5,,50,,,,,1920,0,1,2
GKZO6,3000,200,,25,20,12,8,60,12000,9,,,1920,0,1,2
48BD2,,180,,15,,13,,26,10000,12,,,1920,0,1,2
4GDBV,4000,150,,,11,5,6,31,28000,,,,1920,0,1,2
6CBQF,,,,,,,,,,,,,,0,0,
39O7H,,,,,,,,,,,,,,0,0,
5JP8R,6000,84,,,10,5,5,80,20000,15,10,5,1920,0,1,2
IUIX6,,215,,,18,12,6,110,21000,,5,,1920,0,1,2
QLUQZ,,,,,,,,,,,,,,0,0,
ONSVM,10000,,,10,17,,,64,45000,40,,,1919,0,1,2
3ZVLI,,,,,,,,,,,,,,1,0,
C3IG5,,,,,,,,,,,,,,1,0,
OVQAX,,150,,,8,4,4,20,10000,6,,,1921,0,1,2
V0GOL,,,,,,,,,,,,,1918,1,0,
I789P,,,,,,,,,,,,,,1,0,
74KKV,2500,150,,35,10,6,4,34,9000,14,4,10,1919,0,1,2
6UM7M,1583,50,,,5,3,2,14,4000,4,4,0.001,1920,0,1,3
0S5H6,8000,,,15,17,10,7,40,10000,9,3,6,1911,0,1,4
J4KKZ,14000,349.99,,30,,,,90,30440,,,,1912,0,1,2
S1WH1,10000,215,,,22,,,130,21000,87,,,1919,0,1,2
3X638,,150,,30,16,,,32,12000,16,,,1920,0,1,2
286ZU,10500,417,,,5,,,,10500,9,4,5,1920,0,1,3
77LV8,4000,75,,20,9,5,4,25,10000,5,2,3,1916,0,1,2
4E3DO,3750,200,,,10,6,4,28,11200,30,3,27,1918,0,1,2
FPPCN,1000,75,,,9,,,18,10000,9,,,1919,0,1,2
TLQXD,,65,,15,,7,,,5000,9,1,8,1912,0,1,2
Q6KMO,,,,25,11,,,30,10000,12,,,1919,0,1,2
SJFY6,,,,15,,,,,10500,15,4,11,1918,0,1,2
VV8OZ,,200,,10,18,9,9,65,15000,8,,,1915,0,1,2
2MV1H,,200,,10,18,9,9,65,15000,8,,,1915,1,0,
IAD6E,,,,60,,,,,70000,4,4,0.001,1914,0,1,2
SE162,,,,20,,,,,18000,7,,,1920,0,1,2
B1UQD,1000,125,,50,,,,60,20000,40,4,36,1917,0,1,2
N67WN,,,,,,,,,,,,,,0,0,
BEM51,,180,,12,25,,,28,12200,25,,,1919,0,1,2
IIJO8,,180,,12,11,,,28,12200,25,,,1909,1,0,
8IMGC,,,,5,10,,,24,12000,12,,,1918,0,1,2
E44O6,5000,75,,10,10,4,6,18,5000,10,3,7,1912,0,1,2
YH2TH,3000,150,,10,9,5,4,,9000,15,,,1919,0,1,2
N5THB,2000,150,,20,,,,35,,6,5,1,1917,0,1,2
2KRLX,1000,584,,,19,,,48,26300,,7,,1917,0,1,2
ICCF8,8000,220,,10,20,10,10,70,22000,8,3,5,1920,0,1,2
OB4ZG,,,,10,20,10,10,,,8,3,5,,1,0,
1Y5E9,3333,100,,5,,9,,20,,,,,1910,0,1,2
Q3BD2,4167,,,20,11,,,30,12000,15,4,11,1918,0,1,2
AGO1J,4000,250,,10,12,7,5,49,12300,16,2,14,1920,0,1,2
1VGZE,4000,150,,7,,30,,,11000,15,,,1920,0,1,2
BCWTT,2000,50,,25,,,,18,10000,4,1,3,1919,0,1,2
5ZJUZ,2000,85,,,4,2,2,20,8000,6,3,3,1919,0,1,2
DXSZ0,3000,125,,20,8,5,3,20,80000,9,1,8,1919,0,1,2
7G881,,,,,,,,,,,,,,1,0,
S0FZ4,,,,,,,,,,,,,,1,0,
Q56VB,,,,,,,,,,,,,,1,0,
0OVFU,,,,,,,,,,,,,,1,0,
SB6NA,,,,,,,,,,,,,,1,0,
HRX01,2500,150,,20,11,,,,10000,15,,,1920,0,1,2
5271F,,150,,10,12,,,,15000,10,,,1919,0,1,2
AQDWR,,,,,,14,,60,16600,44,2,42,1919,0,1,2
ZXQ8C,4000,200,,,,,,40,17200,33,4,29,1920,0,1,2
QOGUZ,,70,,,18,8,10,16,10000,10,,,1918,0,1,2
SYBFK,,,,,,,,,,,,,,0,0,
I2IGV,,,,,,,,,,,,,,0,1,
HADZ3,,,,,,,,,,,,,,1,0,
2UF2I,,,,,,,,,,,,,,1,0,
CF7C2,,,,,,,,,,,,,,0,0,
6ODH3,,,,,,,,,,,,,,0,0,
VIX2M,,,,,,,,,,,,,,0,0,
2X0JE,,,,,,,,,,,,,,0,0,
I4LAA,,,,,,,,,,,,,,0,0,
8DRFV,,,,,,,,,,,,,,0,0,
9ZPGW,,,,,,,,,,,,,,0,0,
KEOM1,,,,,,,,,,,,,,0,0,
A29LE,,,,,,,,,,,,,,0,0,
VQV6G,,,,,,,,,,,,,,0,0,
02NS4,,,,,,,,81,,,,,1923,1,0,
5MBXZ,,,,,,,,,,,,,,1,0,
H6812,6000,216.67,,,6,2,3,45,21000,44,4,40,1925,0,1,3
Y9LV6,,,,,10,,,,,,,,,0,0,
9K67X,,,,,,,,,,,,,,0,0,
AY656,,,,,,,,,,,,,,0,0,
YGHFT,800,50,,,2,,,,1200,,,,1912,1,0,
KHACU,,,,,,,,,,,,,,1,0,
7V3PY,,,,,,,,,,1,,,,1,0,
WRL0K,,,,,,,,,,,,,,1,0,
OOJ59,,,,,,,,,,,,,,1,0,
TIAVT,,,,,,,,,,,,,,1,0,
509S,,,,,,,,,,,,,,1,0,
PZJ87,1750,225,,5,5,2,3,24,10000,7,3,4,1917,0,1,3
Y3DN3,,,,,,,,,,,,,,0,0,
RM3X4,,,,,,,,,,,,,,0,0,
U1ZOX,,,,,,,,,,,,,,0,0,
DX2JL,,,,,,,,,,,,,,0,0,
JFS8M,,,,,,,,,,,,,,0,0,
OQW2D,,,,,,,,25,10400,,,,1922,1,0,
ULS89,,,,,,,,,,,,,,1,0,
A4S77,,,,,,,,,,,,,1922,1,0,
YFXJG,,,,,,,,,,,,,,0,0,
FVNMX,,,,,,,,,,,,,,0,0,
FPYA0,,,,,,,,,,,,,,0,0,
3PFZG,,,,,,,,,,,,,,0,0,
1XPJC,,,,,,,,,,,,,,0,0,
9WCD7,,,,,,,,,,,,,,0,0,
QTOGS,,,,,,,,,,,,,,0,0,
7D2EB,,,,,,,,,,,,,,0,0,
FL335,,,,,,,,,,,,,,0,0,
DX5W3,3000,2042,,,,,,,99500,40,5,35,1921,0,1,2
V56S1,,,,,,,,,,,,,,0,1,
67AIA,,,,,,,,,,,,,,0,1,2
36PQL,,,,,,,,,,,,,,1,0,
WVO3Y,,95,,10,,,,,,37,16,21,1921,0,1,4
72KNC,,95,,10,,,,,40000,37,16,21,1922,0,1,2
BM7J6,,,,,,,,,,,,,,0,1,
2P98U,,,,,,,,,,,,,,0,0,
H3C2U,,,,,,,,,,,,,,0,0,
HYOS7,13000,349.99,,,48,,,,30440,49,,,1912,0,1,3
YJASN,2000,90,,,,8,,28,9000,8,,,1920,0,1,2
9H34O,,,,,,,,,,,,,,1,0,
8FDH9,4000,150,,,11,4,4,52,,5,3,2,1922,1,0,
3784R,4000,150,,,8,4,4,52,,5,3,2,1922,0,1,7
QMK73,,,,,,,,,,,,,,0,1,3
306PO,,,,,,,,,,,,,,0,1,1
SZDEE,,,,,,,,,,,,,,0,0,
WOT3D,,,,,,,,,,,,,,1,0,
EU73L,,,,,,,,,,,,,,1,0,
C54P9,,,,,,,,,,,,,,1,0,
30O8N,,,,,,,,,,,,,,0,0,
ABO1C,,,,,,,,,,,,,,0,0,
OZWMN,,2000,,,30,18,12,200,90000,88,8,80,1924,0,1,2
LI155,40000,342,,4,100,,,,60000,7,4,3,1927,0,1,2
6PSOZ,,,,,,,,,,,,,,1,0,
6MINA,38000,2000,,,80,,,225,150000,100,6,94,1925,0,1,3
96WCX,38000,2000,,,60,,,225,150000,90,6,84,1925,0,1,3
HXTXD,6000,300,,,50,,,50,35000,9,5,4,1919,0,1,2
14LGW,,,,,,,,,,,,,,0,1,2
SDYO3,,,,,,,,,,,,,,1,0,
YI9WQ,,,,,,,,,,,,,,0,0,
1VMUL,,,,,,,,,,,,,,0,0,
2A434,,,,,,,,,,,,,,0,0,
9788W,,,,,,,,,,,,,,0,0,
YGT76,,,,,,,,,,,,,,0,1,1
GGHOZ,,,,,,,,,,,,,,0,0,
AS910,,,,,,,,,,,,,,0,0,
KG6C0,3333,,3350,,9,3,4,,6000,9,3,6,1924,0,1,4
70S5W,,,,,,,,,,,,,,1,0,
BQ3T8,,,,,,,,,,,,,,0,0,
MC9TB,,,,,,,,,,,,,,0,0,
9BW0G,,,,,,,,,,,,,,0,0,
ZH5CV,,,,,,,,,,,,,,0,0,
R7B60,,,,,,,,,,,,,,1,0,
UJUI4,,,,,,,,,,,,,,0,1,1
UQ83U,,,,,,,,,,,,,,1,0,
BG670,1333.33,333.33,1416.67,,,,,24,9850,23,4,19,1929,0,1,3
YQYOK,,,,,,,,,,,,,,0,0,
2KTLQ,,,,,,,,,,,,,,0,0,
QZVFD,,,,,,,,,,,,,,0,0,
S55Q4,,,,,,,,,,,,,,0,1,
AQGQB,,,,,,,,,,,,,,0,0,
D221N,,,,,,,,,,,,,,1,0,
FVP9U,,,,,,,,,,,,,,0,0,
FQESQ,6000,84,,,25,5,5,80,20000,15,10,5,,0,1,2
SRB4M,,,,,,,,,,,,,,0,0,
A131J,,,,,,,,,,,,,,0,0,
V902W,,,,,,,,,,,,,,0,0,
Z8XX4,,,,,,,,,,,,,,0,0,
90TFV,,,,,,,,,,,,,,0,0,
Q04BN,,,,,,,,,,,,,,0,0,
Q1GA8,,,,,,,,,,,,,,1,0,
R0UJU,,,,,,,,,,,,,,1,0,
OMYFM,1000,,,,,,,26,10000,17,6,11,1887,0,1,2
KFL3G,,200,3500,,,,,,30000,17,3,14,,0,1,3
BZN76,4160,,3000,,10,6,4,,30000,17,4,13,1913,0,1,3
NFAIR,,,1000,90,21,13,8,,30440,,,,1919,0,1,8
F6Y1R,4000,,1900,30,9,4,5,,,,,,1908,0,1,3
FMOFR,,,,,,,,,,,,,,0,0,
XF6CU,,,,,,,,,,,,,,0,0,
49FH8,,,,,,,,,,,,,,0,0,
CFY6G,,,,,,,,,,,,,,0,0,
CENAP,,,,,,,,,,,,,,0,0,
T8PN9,,,,,,,,,,,,,,0,0,
DQLBF,,,,,,,,,,,,,,0,0,
VKSNB,,,,,,,,,,,,,,0,0,
Y02M2,,,,,,,,,,,,,,0,0,
ABLAR,,,,,,,,,,,,,,0,0,
UDO7B,,,,,,,,,,,,,,0,0,
2FWYV,,,,,,,,,,,,,,0,0,
4N54K,,,,,,,,,,,,,,0,0,
Q2PH9,,417,,25,30,,,81,62500,17,,,,0,1,2
61RSM,,,,,,,,,,,,,,0,1,2
ICO3P,,,,,,,,,30000,30,,,,0,1,
1VEQ8,5800,500,,,11,5,6,39,30000,20,5,15,1925,0,1,3
9JOFG,,,,,,,,,30000,30,,,,0,1,
GVDFE,,,,,,,,,,,,,,0,0,
7TCE0,,,,,,,,,,,,,,0,0,
OKTVH,,,,,,,,,,,,,,0,1,1
LZGLF,,,,,,,,,,,,,,0,0,
RQ6W3,,,,,,,,,,,,,,0,0,
O19TP,,,,,,,,,,,,,,0,0,
FRKHP,,,,,,,,,,,,,,0,0,
P8BTO,,,,,,,,,,,,,,0,0,
GLPLY,,,,,,,,,,,,,,0,0,
19GOE,,,,,,,,,,,,,,0,0,
9NWTA,,,,,,,,,,,,,,0,0,
299VR,,,,,,,,,,,,,,0,0,
TTJ69,,,,,,,,,,,,,,0,0,
TB1TS,,,,,,,,,,,,,,0,0,
R91IH,,,,,,,,,,,,,,0,0,
DZLVN,,,,,,,,,,,,,,0,0,
V97NP,,,,,,,,,,,,,,0,0,
GXB7C,,,,,,,,,,,,,,0,0,
EVCDJ,,,,,,,,,,,,,,0,1,2
I2OHU,,,,,,,,,,,,,1921,1,0,
C25H9,,,,,,,,,,,,,,0,0,
HIRT7,,,,,,,,,,,,,,0,0,
5YU60,2000,47.5,500,5,4,2,2,,3000,1,1,0.001,1916,0,1,2
8MGMF,,,,,,,,,,,,,,0,0,
U3UYH,,,,,,,,,,,,,,0,0,
Z7NCA,8000,208.3333333,6000,30,8,4,4,40,7000,8,3,5,1919,0,1,2
6K4GD,5000,583.3333333,,,8,4,4,46,30000,45,4,41,1926,0,1,2
U6J85,5000,583.3333333,,,8,4,4,46,30000,45,4,41,1926,0,1,2
2N1A2,,,,,,,,,,,,,,0,0,
CJU47,,,,,,,,,,5,5,0.001,1920,0,0,
QRIZ7,,,,,,,,,,,,,,0,0,
N9K0L,,,,,,,,,,,,,,0,0,
ADMJ2,,,,,,,,,,,,,,0,1,
TRSIK,,,,,,,,,,,,,,1,0,
JSFVU,,,,,,,,,,,,,,1,0,
EAM9H,,,,,,,,,,,,,,0,0,
4HN2W,,,,,,,,,,,,,,0,1,
K9ORO,7500,,,30,14,,,,12000,6,6,0.001,1931,0,1,3
6NULM,,,,40,18,10,1,35,15000,,,,1919,0,1,2
BYSI3,,,,,,,,,,,,,,0,0,
P4FWY,,,,,,,,,,,,,,0,0,
B32EA,,,,,,,,,,,,,,0,0,
TI1R6,,,,,,,,,,,,,,0,0,
YGW3W,5000,175,4600,,11,,,,,13,,,1922,0,1,2
N2DBN,,,,,,,,,,,,,,0,1,
I8TLD,3300,175,,,8,4,4,20,24000,8,2,6,1916,0,1,2
JP41P,,,,,,,,,,,,,,0,0,
EHHBE,,,,,,,,,,,,,,0,1,5
OZO4B,,,,,,,,,,,,,,0,0,
6YCDB,,350,,,,,,,20000,21,8,13,1923,0,1,4
QJ0RM,,,,,,,,,,,,,,0,1,1
7WXFM,,,,,,,,,,,,,,0,1,
ZHIL1,,,,,,,,,,,,,,0,0,
5DBKQ,,,,,,,,,,,,,,0,0,
CSG38,,,,,,,,,,,,,,0,0,
7S2KZ,5000,225,,15,,,,50,26000,17,5,12,1920,0,1,2
NM3S3,9000,,,,11,5,6,70,25300,,6,,1919,0,1,2
P1ILE,,2141.66,,20,30,18,12,,110000,149,12,137,1926,1,0,
OUNPU,333,100,,10,3,,,13,8000,4,4,0.001,1922,0,1,2
SPPZ4,,,,,,,,,,,,,,0,0,
B9LN4,,,,,,,,,,,,,,0,1,3
VLBX7,4000,85,,,5,3,2,15,15000,5,2,3,1922,0,1,3
OQL8M,,,,,,,,,,,,,,1,0,
M4HRX,,,,,,,,,,,,,,0,0,
HTTP5,,,,,,,,,,,,,,0,0,
UX3TW,,,,,,,,,,,,,,0,0,
US0D8,,625,,,13,5,8,100,25000,8,4,4,1921,0,1,
0QUY,,625,,,13,5,8,100,25000,8,4,4,1921,1,0,
3ZFVR,,,,,,,,,,,,,,0,0,
JYABH,,,,,,,,,,,,,,0,0,
PYR3F,,,,,,,,,,,,,,0,0,
XABNI,,,,,,,,,,,,,,0,0,
7ZQ0B,,,,,,,,,,,,,,0,0,
96L18,10000,349.99,,25,21,,,92,34000,,,,1912,0,1,2
EIXRI,8000,,,15,17,10,7,40,10000,9,3,6,1911,0,1,4
3CANV,7000,625,,10,15,6,9,64,38500,40,3,37,1921,0,1,2
B2YHR,10000,349.99,,25,21,,,92,34000,,,,1912,0,1,2
EU03B,,,,,,,,,,,,,,0,0,
NDG11,,,,,,,,,,,,,,0,0,
UNIF6,,,,,,,,,,,,,,0,1,3
OFRH4,,,,,,,,,,44,,,1911,0,1,2
UY43A,1000,50,,,,,,,5000,1,1,0.001,1918,0,1,
CRRE4,5833,500,,,,5,,50,,,,,1920,0,1,2
LOYDP,,416.7,,,,,,,,,,,1920,0,1,2
FO81H,7000,200,,,10,6,4,30,10000,4,2,2,1918,0,1,2
W31ZR,3000,200,,25,12,,,60,12000,9,,,1920,0,1,2
4O756,6000,,,,10,5,5,80,20000,15,10,5,1920,0,1,3
QPGP6,,,,,,,,,,,,,,0,0,
AALKF,,,,,,,,,,,,,,0,0,
YTDFH,,215,,,17,,,110,21000,,5,,1917,0,1,2
S0TAT,,,,,,,,,,,,,,0,0,
0BY3Z,3333,,,,,,,65,21000,,4,,1929,0,1,3
OLFFR,4500,225,,10,9,,,30,20000,10,,,1917,0,1,3
57726,,,,,,,,,,,,,,1,0,
N20AX,,,,,,,,,,,,,,1,0,
JEVHQ,3000,175,,30,,,,30,10000,15,3,12,1919,0,1,2
EPVQL,,,,,,,,,,,,,,1,0,
UCPZD,,65,,15,7,,,,5000,9,,,1912,0,1,2
734L9,900,150,,,,4,,24,4000,5,3,2,1920,0,1,5
YDBTG,,,,,,,,,,,,,,1,0,
KQCZR,,,,,,,,,,,,,,1,0,
VXEJZ,,,,,,,,,,,,,,0,1,
X9W2K,,,,10,9,5,4,26,12000,6,,,1918,0,1,2
DT35W,,,,6,9,5,4,26,12000,6,,,1918,0,1,2
06ZMY,1500,40,,30,5,2,3,13,5000,3,2,1,1919,0,1,2
UUD8G,,,,,,,,,,,,,,0,1,
83RZR,2083,80,,4.5,7,3,4,21,6000,3,3,0.001,1917,0,1,2
D7FAH,2083,80,,4,,3,,21,6000,3,,,1917,0,1,2
XRP4X,,468.33,,20,11,5,6,40,31000,65,6,59,1926,0,1,2
GQG0M,,,,,,,,,,,,,,1,0,
E24K5,,,,40,12,,,35,15000,18,,,1919,0,1,2
TRHWZ,,150,,20,12,,,40,11000,11,,,1918,0,1,2
4VRT6,4000,150,,7,,30,,,11000,15,,,1920,0,1,2
AMT6C,,,,25,,10,,,8000,6,,,1920,0,1,2
MN39O,3000,25,,20,8,5,3,20,8000,9,,,1919,0,1,2
544J3,,,,25,10,,,,8000,6,1,5,1920,0,1,2
J4K1X,,,,,,,,,,,,,1918,0,1,1
JM36P,,,,,,,,,,,,,1918,0,1,2
CWQ7P,,,,,,,,,,,,,,1,0,
KR7SM,,,,,,,,,,,,,,1,0,
ZOF0S,,70,,,8,,,16,10000,10,,,1918,0,1,2
2C687,,,,,,,,,,,,,,0,0,
JSRV7,,,,,,,,,,,,,,0,0,
W37RM,,,,,,,,,,,,,,0,0,
K9KRW,,,,,,,,,,,,,,0,0,
F5W1A,,,,,,,,,,,,,,1,0,
10VWA,,,,,,,,,,,,,,0,1,
WIWUO,,,,,,,,,,,,,,1,0,
O68KX,,,,,,,,,,,,,,0,0,
HWB6S,,,,,,,,,,,,,,0,0,
