ID,REST: Monthly Sales MOD,REST: Monthly rent MOD,REST: Monthly Expenses MOD,REST: Dividends MOD,REST: Staff size MOD,REST: No Wtr MOD,REST: No Ktch Wkr MOD,REST: No tables MOD,REST: Total Capital MOD,REST: Total Partners MOD,REST: No Act Part MOD,REST:  No Pass Part MOD,REST: Applicant invest yr MOD,LRC: Did the applicant apply for Laborer's Return Certificate? MOD,MRC: Did the applicant apply for Merchant's Return Certificate? MOD,MRC: Total number of witnesses
30FDD,,,,,,,,,,,,,,0,0,
FVC0,,,,,,,,,,,,,,0,0,
ESYX3,,,,,,,,,,,,,,1,0,
3CFJE,,,,,,,,,,,,,,0,0,
XXL62,,,,,,,,,,,,,,0,1,
GORRP,,,,,10,,,,,,,,,0,0,
4YSX9,,,,,,,,,,,,,,1,0,
MYKOB,,,,,,,,,,,,,,1,0,
UAP4H,,,,,,,,,,,,,,1,0,
PQYRG,,,,,,,,,,4,,,,1,0,
I9MQB,,,,,,,,,,,,,,1,0,
IT57U,,,,,,,,,,,,,,1,0,
OBRRK,,,,,,,,,,,,,,1,0,
NL90J,,,,,,,,,,,,,,1,0,
1WNLU,,,,,,,,,,,,,,1,0,
DT81X,,,,,,,,,,,,,,1,0,
TPXEV,,,,,,,,,,,,,,1,0,
QT3UN,,,,,,,,,,,,,,1,0,
2GOUV,,,,,,,,,,4,,,1906,1,0,
6ZJ2O,,,,,,,,,,,,,,1,0,
CNFJ2,,,,,,,,,,,,,,1,0,
QZUCG,,,,,,,,,,,,,,1,0,
NIDG0,,,,,,,,,,3,,,,1,0,
Y4IX8,,,,,,,,,2400,4,,,,1,0,
BL6K8,,,,33,,,,,2400,4,,,1903,1,0,
CQ0EJ,,,,,,,,,,,,,,1,0,
QOBXV,,,,,,,,,,,,,,1,0,
QA0PQ,,,,,,,,,,,,,,1,0,
13D4N,,,,,,,,,,,,,,1,0,
YV08B,,,,,,,,,,,,,,1,0,
AUROZ,,,,,,,,,,,,,,1,0,
P5CJA,,,,,,,,,,,,,,1,0,
O2FJZ,,,,,,,,,,,,,,0,0,
AB98B,667,,,,,,,,,,,,1921,1,0,
PFKA6,4000,150,,,22,10,12,16,10000,12,,,1922,1,0,
