ID,REST: Monthly Sales MOD,REST: Monthly rent MOD,REST: Monthly Expenses MOD,REST: Dividends MOD,REST: Staff size MOD,REST: No Wtr MOD,REST: No Ktch Wkr MOD,REST: No tables MOD,REST: Total Capital MOD,REST: Total Partners MOD,REST: No Act Part MOD,REST:  No Pass Part MOD,REST: Applicant invest yr MOD,LRC: Did the applicant apply for Laborer's Return Certificate? MOD,MRC: Did the applicant apply for Merchant's Return Certificate? MOD,MRC: Total number of witnesses
JER71,,,,,8.31(p1),,,,,,,,,1.0,0.0,
MKQGP,,,,,8.31(p1),,,,,,,,,1.0,0.0,
QVXUU,,,,,8.31(p1),,,,,,,,1925.0,1.0,0.0,
I5Y87,9166.0,333.0,,,4.0,2.0,2.0,46.0,53000.0,11.0,11.0,0.001,1919.0,0.0,1.0,2.0
4NEVN,,,,,8.31(p1),,,,,,,,,1.0,0.0,
XCD4P,,,,,8.31(p1),,,,,,,,,0.0,1.0,1.0
ZOLM0,,,,,10.10(p1),,,,,,,,,0.0,1.0,3.0
JWXYR,,,,,8.31(p1),,,,,,,,,0.0,0.0,
30SNC,,,,,8.31(p1),,,,,,,,,1.0,0.0,
VJRTQ,,,,,8.31(p1),,,,,,,,,0.0,0.0,
C2VK3,,,,,8.31(p1),,,,,,,,,0.0,0.0,
MJ833,,,,,8.31(p1),,,,,,,,,0.0,0.0,
HQF5X,,,,,8.31(p1),,,,,,,,,0.0,0.0,
58VA0,,,,,8.31(p1),,,,,,,,,1.0,0.0,
SN4Q3,,,,,8.31(p1),,,,,,,,,1.0,0.0,
4U9EJ,,,,,8.31(p1),,,,,,,,1928.0,1.0,0.0,
VP4IQ,,,,,8.31(p1),,,,,,,,,0.0,1.0,1.0
FDDSK,,,,,8.31(p1),,,,,,,,,0.0,0.0,
WEGSE,,,,,8.31(p1),,,,,,,,,0.0,1.0,
DAIP0,,,,,8.31(p1),,,,,,,,,1.0,0.0,
3IE7O,,,,,8.31(p1),,,,,,,,,0.0,0.0,
63M7U,,,,,8.31(p1),,,,,,,,,0.0,0.0,
TAFYO,,,,,8.31(p1),,,,,,,,,0.0,0.0,
RHJEJ,,,,20.0,8.31(p1),,,,,12.0,,,1916.0,1.0,0.0,
CETMQ,,,,,11.84(p1),,,,,29.0,4.0,25.0,,0.0,1.0,2.0
ZUJW5,3333.0,300.0,,30.0,4.0,2.0,2.0,,8000.0,7.0,5.0,2.0,1925.0,0.0,1.0,2.0
U3OUK,,,,,10.10(p1),,,,,,,,1915.0,0.0,1.0,3.0
RC4YA,,,,,8.31(p1),,,,,,,,,0.0,1.0,1.0
JCMHS,,,,,8.31(p1),,,,,,,,,0.0,0.0,
ZMAU2,,,,,8.31(p1),,,,,,,,,0.0,0.0,
XX2JO,,,,,8.31(p1),,,,,,,,,0.0,0.0,
VDK69,4000.0,131.0,2000.0,,4.0,2.0,2.0,,6500.0,6.0,5.0,1.0,1912.0,0.0,1.0,3.0
TBIZI,6000.0,317.0,,15.0,11.0,8.0,3.0,,20450.0,40.0,2.0,38.0,1911.0,0.0,1.0,2.0
PZR1E,,,,,8.31(p1),,,,,,,,,0.0,0.0,
TGHWM,2100.0,175.0,1500.0,,5.0,3.0,2.0,14.0,4500.0,11.0,2.0,9.0,1917.0,0.0,1.0,2.0
NFM4N,2800.0,45.0,1300.0,40.0,8.0,5.0,3.0,,8000.0,2.0,1.0,1.0,1915.0,0.0,1.0,2.0
H6ECA,,,,,8.31(p1),,,,,,,,,1.0,0.0,
10TER,,,,,10.10(p1),,,,,,,,,0.0,1.0,5.0
S2IX2,3000.0,75.0,1300.0,40.0,8.0,4.0,4.0,20.0,3500.0,1.0,1.0,0.001,1918.0,0.0,1.0,2.0
2T6O8,,,,,9.88(p1),,,,,5.0,5.0,0.001,1920.0,0.0,0.0,
V0EE6,,52.0,,10.0,9.08(p1),,,,12000.0,24.0,9.0,15.0,1917.0,0.0,1.0,2.0
MP2U2,18333.0,1125.0,,,14.01(p1),,,150.0,,80.0,5.0,75.0,1920.0,0.0,1.0,2.0
JGBO1,,,,,8.31(p1),,,,,,,,1920.0,1.0,0.0,
WZIAI,,,,,8.31(p1),,,,,,,,,0.0,0.0,
I4QP3,3333.0,,,,7.29(p1),,,,5000.0,7.0,3.0,4.0,1926.0,0.0,1.0,3.0
EJM3W,,,,,8.31(p1),,,,,,,,,0.0,0.0,
HQO9M,,,,,8.31(p1),,,,,,,,1902.0,1.0,0.0,
BRI1I,,,,,8.31(p1),,,,,,,,,1.0,0.0,
NL01Y,,,,,8.31(p1),,,,,,,,1902.0,1.0,0.0,
C97FZ,833.0,90.0,3000.0,,6.49(p1),,,,6500.0,8.0,3.0,5.0,1913.0,0.0,1.0,4.0
BBKKG,,,,,8.31(p1),,,,,,,,,1.0,0.0,
D1UVC,,,,,8.31(p1),,,,,,,,,0.0,0.0,
UBMP1,5000.0,350.0,,,11.63(p1),,,54.0,30000.0,31.0,8.0,23.0,1922.0,0.0,1.0,4.0
KUKFJ,,,,,8.31(p1),,,,,,,,,0.0,0.0,
XJR2M,1600.0,125.0,,,7.67(p1),,,36.0,15000.0,6.0,3.0,3.0,1921.0,0.0,1.0,2.0
808CX,9000.0,285.0,,50.0,9.0,4.0,5.0,39.0,8000.0,7.0,,,1914.0,0.0,1.0,2.0
48MY6,5000.0,285.0,,50.0,16.0,8.0,8.0,39.0,8000.0,7.0,4.0,3.0,1914.0,0.0,1.0,2.0
YS3EJ,,,,,8.31(p1),,,,,,,,,0.0,1.0,2.0
JS7AS,6000.0,,,,14.0,9.0,5.0,,11000.0,5.0,,,1917.0,1.0,0.0,
KTUAO,,,,,7.67(p1),,,,11000.0,,,,1917.0,0.0,0.0,
TOHTT,,,,,8.31(p1),,,,,,,,,0.0,0.0,
94BE5,7000.0,325.0,,,7.0,,,36.0,30000.0,15.0,4.0,11.0,1922.0,0.0,1.0,2.0
AG1QP,9167.0,80.0,,,30.0,,,,30000.0,30.0,14.0,16.0,1915.0,0.0,1.0,4.0
P0ZJY,5000.0,225.0,,15.0,9.0,5.0,2.0,30.0,26000.0,17.0,5.0,12.0,1920.0,0.0,1.0,2.0
3298N,,,,,8.31(p1),,,,,,,,,1.0,0.0,
UXFXW,2500.0,75.0,,10.0,6.0,3.0,3.0,13.0,8000.0,4.0,1.0,3.0,1921.0,0.0,1.0,2.0
TY3KA,,,,,8.31(p1),,,,,,,,,0.0,0.0,
YJKER,,,,,8.31(p1),,,,,,,,,0.0,0.0,
W6OYG,5000.0,275.0,,,7.0,3.0,4.0,35.0,16500.0,40.0,1.0,39.0,1920.0,0.0,1.0,
UT8G7,1500.0,150.0,,10.0,7.29(p1),,,,6000.0,7.0,3.0,4.0,1921.0,0.0,1.0,3.0
FGUYX,,,,,8.31(p1),,,,,,,,,0.0,0.0,
M9J7T,,,,,8.31(p1),,,,,,,,,0.0,0.0,
R2UJC,,,,,8.31(p1),,,,,,,,,0.0,0.0,
URBMZ,4000.0,400.0,,10.0,9.0,5.0,4.0,25.0,9000.0,10.0,2.0,8.0,1919.0,0.0,1.0,2.0
6B984,,,,,8.31(p1),,,,,,,,,0.0,0.0,
4F50G,,,,,8.31(p1),,,,,,,,,0.0,0.0,
RX0FG,,,,,8.31(p1),,,,,,,,,0.0,0.0,
WGGVE,,,,,8.31(p1),,,,,,,,,0.0,0.0,
5HQ8B,,,,,8.31(p1),,,,,,,,,0.0,0.0,
IJNRX,,500.0,,,28.0,12.0,16.0,29.0,11000.0,28.0,,,1916.0,0.0,1.0,2.0
2MSG4,5000.0,150.0,,10.0,7.66(p1),4.0,,42.0,17000.0,8.0,5.0,3.0,1918.0,0.0,1.0,3.0
KLYTT,5000.0,150.0,,10.0,8.0,4.0,4.0,42.0,175000.0,12.0,4.0,8.0,1918.0,0.0,1.0,2.0
1FTJH,2500.0,300.0,,10.0,14.71(p1),,,,15500.0,42.0,1.0,41.0,1917.0,0.0,1.0,2.0
5FTXP,4167.0,167.0,,15.0,5.0,4.0,1.0,22.0,10000.0,5.0,5.0,0.001,1919.0,0.0,1.0,2.0
RUHGF,7000.0,625.0,,10.0,24.0,10.0,14.0,64.0,38500.0,40.0,3.0,37.0,1921.0,0.0,1.0,2.0
Z6BMU,1000.0,50.0,,,7.29(p1),,,,5000.0,1.0,1.0,0.001,1918.0,0.0,1.0,2.0
RREOT,5833.0,500.0,,,7.14(p1),5.0,,50.0,,,,,1920.0,0.0,1.0,2.0
GKZO6,3000.0,200.0,,25.0,20.0,12.0,8.0,60.0,12000.0,9.0,,,1920.0,0.0,1.0,2.0
48BD2,,180.0,,15.0,10.04(p1),13.0,,26.0,10000.0,12.0,,,1920.0,0.0,1.0,2.0
4GDBV,4000.0,150.0,,,11.0,5.0,6.0,31.0,28000.0,,,,1920.0,0.0,1.0,2.0
6CBQF,,,,,8.31(p1),,,,,,,,,0.0,0.0,
39O7H,,,,,8.31(p1),,,,,,,,,0.0,0.0,
5JP8R,6000.0,84.0,,,10.0,5.0,5.0,80.0,20000.0,15.0,10.0,5.0,1920.0,0.0,1.0,2.0
IUIX6,,215.0,,,18.0,12.0,6.0,110.0,21000.0,,5.0,,1920.0,0.0,1.0,2.0
QLUQZ,,,,,8.31(p1),,,,,,,,,0.0,0.0,
ONSVM,10000.0,,,10.0,17.0,,,64.0,45000.0,40.0,,,1919.0,0.0,1.0,2.0
3ZVLI,,,,,8.31(p1),,,,,,,,,1.0,0.0,
C3IG5,,,,,8.31(p1),,,,,,,,,1.0,0.0,
OVQAX,,150.0,,,8.0,4.0,4.0,20.0,10000.0,6.0,,,1921.0,0.0,1.0,2.0
V0GOL,,,,,8.31(p1),,,,,,,,1918.0,1.0,0.0,
I789P,,,,,8.31(p1),,,,,,,,,1.0,0.0,
74KKV,2500.0,150.0,,35.0,10.0,6.0,4.0,34.0,9000.0,14.0,4.0,10.0,1919.0,0.0,1.0,2.0
6UM7M,1583.0,50.0,,,5.0,3.0,2.0,14.0,4000.0,4.0,4.0,0.001,1920.0,0.0,1.0,3.0
0S5H6,8000.0,,,15.0,17.0,10.0,7.0,40.0,10000.0,9.0,3.0,6.0,1911.0,0.0,1.0,4.0
J4KKZ,14000.0,349.99,,30.0,14.96(p1),,,90.0,30440.0,,,,1912.0,0.0,1.0,2.0
