ID,REST: Monthly Sales MOD,REST: Monthly rent MOD,REST: Monthly Expenses MOD,REST: Dividends MOD,REST: Staff size MOD,REST: No Wtr MOD,REST: No Ktch Wkr MOD,REST: No tables MOD,REST: Total Capital MOD,REST: Total Partners MOD,REST: No Act Part MOD,REST:  No Pass Part MOD,REST: Applicant invest yr MOD,LRC: Did the applicant apply for Laborer's Return Certificate? MOD,MRC: Did the applicant apply for Merchant's Return Certificate? MOD,MRC: Total number of witnesses
HYOS7,13000.0,349.99,5231.22(p2),,48.0,16.02(p1),15.11(p1),38.21(p1),30440.0,49.0,4.07(p2),21.93(p2),1912.0,0.0,1.0,3.0
YJASN,2000.0,90.0,1518.25(p2),,9.81(p1),8.0,1.94(p1),28.0,9000.0,8.0,2.20(p2),2.22(p2),1920.0,0.0,1.0,2.0
9H34O,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,1.0,0.0,
8FDH9,4000.0,150.0,2656.91(p2),,11.0,4.0,4.0,52.0,,5.0,3.0,2.0,1922.0,1.0,0.0,
3784R,4000.0,150.0,2737.54(p2),,8.0,4.0,4.0,52.0,,5.0,3.0,2.0,1922.0,0.0,1.0,7.0
QMK73,,,1283.27(p2),,10.10(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,1.0,3.0
306PO,,,1280.20(p2),,8.31(p1),7.84(p1),2.11(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,1.0,1.0
SZDEE,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
WOT3D,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,1.0,0.0,
EU73L,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,1.0,0.0,
C54P9,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,1.0,0.0,
30O8N,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
ABO1C,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
OZWMN,,2000.0,3400.19(p2),,30.0,18.0,12.0,200.0,90000.0,88.0,8.0,80.0,1924.0,0.0,1.0,2.0
LI155,40000.0,342.0,6081.84(p2),4.0,100.0,14.26(p1),13.12(p1),38.21(p1),60000.0,7.0,4.0,3.0,1927.0,0.0,1.0,2.0
6PSOZ,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,1.0,0.0,
6MINA,38000.0,2000.0,6126.08(p2),,80.0,17.00(p1),13.58(p1),225.0,150000.0,100.0,6.0,94.0,1925.0,0.0,1.0,3.0
96WCX,38000.0,2000.0,6126.08(p2),,60.0,17.00(p1),13.58(p1),225.0,150000.0,90.0,6.0,84.0,1925.0,0.0,1.0,3.0
HXTXD,6000.0,300.0,5801.90(p2),,50.0,13.22(p1),11.70(p1),50.0,35000.0,9.0,5.0,4.0,1919.0,0.0,1.0,2.0
14LGW,,,1280.20(p2),,8.31(p1),7.84(p1),2.11(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,1.0,2.0
SDYO3,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,1.0,0.0,
YI9WQ,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
1VMUL,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
2A434,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
9788W,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
YGT76,,,1280.20(p2),,8.31(p1),7.84(p1),2.11(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,1.0,1.0
GGHOZ,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
AS910,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
KG6C0,3333.0,,3350.0,,9.0,3.0,4.0,21.27(p1),6000.0,9.0,3.0,6.0,1924.0,0.0,1.0,4.0
70S5W,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,1.0,0.0,
BQ3T8,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
MC9TB,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
9BW0G,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
ZH5CV,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
R7B60,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,1.0,0.0,
UJUI4,,,1280.20(p2),,8.31(p1),7.84(p1),2.11(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,1.0,1.0
UQ83U,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,1.0,0.0,
BG670,1333.33,333.33,1416.67,,8.62(p1),7.22(p1),1.93(p1),24.0,9850.0,23.0,4.0,19.0,1929.0,0.0,1.0,3.0
YQYOK,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
2KTLQ,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
QZVFD,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
S55Q4,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,1.0,
AQGQB,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
D221N,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,1.0,0.0,
FVP9U,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
FQESQ,6000.0,84.0,5302.13(p2),,25.0,5.0,5.0,80.0,20000.0,15.0,10.0,5.0,,0.0,1.0,2.0
SRB4M,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
A131J,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
V902W,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
Z8XX4,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
90TFV,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
Q04BN,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
Q1GA8,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,1.0,0.0,
R0UJU,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,1.0,0.0,
OMYFM,1000.0,,2456.53(p2),,7.76(p1),7.34(p1),1.30(p1),26.0,10000.0,17.0,6.0,11.0,1887.0,0.0,1.0,2.0
KFL3G,,200.0,3500.0,,8.06(p1),8.36(p1),1.82(p1),35.70(p1),30000.0,17.0,3.0,14.0,,0.0,1.0,3.0
BZN76,4160.0,,3000.0,,10.0,6.0,4.0,35.70(p1),30000.0,17.0,4.0,13.0,1913.0,0.0,1.0,3.0
NFAIR,,,1000.0,90.0,21.0,13.0,8.0,38.21(p1),30440.0,13.52(p2),3.23(p2),1.64(p2),1919.0,0.0,1.0,8.0
F6Y1R,4000.0,,1900.0,30.0,9.0,4.0,5.0,35.70(p1),,6.74(p2),2.59(p2),1.64(p2),1908.0,0.0,1.0,3.0
FMOFR,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
XF6CU,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
49FH8,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
CFY6G,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
CENAP,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
T8PN9,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
DQLBF,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
VKSNB,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
Y02M2,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
