ID,REST: Monthly Sales MOD,REST: Monthly rent MOD,REST: Monthly Expenses MOD,REST: Dividends MOD,REST: Staff size MOD,REST: No Wtr MOD,REST: No Ktch Wkr MOD,REST: No tables MOD,REST: Total Capital MOD,REST: Total Partners MOD,REST: No Act Part MOD,REST:  No Pass Part MOD,REST: Applicant invest yr MOD,LRC: Did the applicant apply for Laborer's Return Certificate? MOD,MRC: Did the applicant apply for Merchant's Return Certificate? MOD,MRC: Total number of witnesses
D8E7S,4000.0,345.0,2662.95,,4.0,1.0,3.0,18.0,6000.0,6.0,3.0,3.0,1928.0,0.0,1.0,4.0
60H40,,2000.0,3400.19,,30.0,18.0,12.0,200.0,90000.0,88.0,8.0,80.0,1924.0,0.0,1.0,2.0
ZYUTZ,,2141.66,3452.51,20.0,30.0,18.0,12.0,80.99,110000.0,149.0,12.0,137.0,1926.0,0.0,1.0,4.0
SDHXZ,,,1280.2,,8.31,7.84,2.12,35.7,,6.74,3.48,1.64,,0.0,0.0,
MRRKN,,,1280.2,,8.31,7.84,2.12,35.7,,6.74,3.48,1.64,,0.0,0.0,
8E75A,,,1280.2,,8.31,7.84,2.11,35.7,,6.74,3.48,1.64,,0.0,1.0,2.0
YX2WP,,,1280.2,,8.31,7.84,2.12,35.7,,6.74,3.48,1.64,,0.0,0.0,
L4RN6,,,1960.64,,9.88,7.65,0.97,35.7,,5.0,5.0,1.64,1920.0,0.0,1.0,2.0
EHACO,,,1209.97,,8.31,8.32,1.78,35.7,,5.0,2.99,1.64,1920.0,0.0,1.0,1.0
I4VDW,,,1280.2,,8.31,7.84,2.11,35.7,,6.74,3.48,1.64,,0.0,1.0,2.0
V4HQX,,,1000.0,90.0,21.0,13.0,8.0,38.21,30440.0,13.52,3.23,1.64,1919.0,0.0,1.0,8.0
GPIPA,,2141.66,3424.52,20.0,30.0,18.0,12.0,80.99,110000.0,149.0,12.0,137.0,1926.0,0.0,1.0,3.0
6CZQT,,,2572.3,,11.46,7.97,1.87,100.0,20450.0,44.0,5.0,39.0,1911.0,0.0,1.0,2.0
8YWO0,3000.0,,1795.8,5.0,12.0,6.9,4.21,20.0,15000.0,5.0,2.11,1.64,1919.0,0.0,1.0,2.0
AD3M7,,,1280.2,,8.31,7.84,2.12,35.7,,6.74,3.48,1.64,,0.0,0.0,
K12DD,,,1283.27,,10.1,7.84,2.12,35.7,,6.74,3.48,1.64,,0.0,1.0,3.0
DZV20,3000.0,2042.0,3610.16,,60.0,14.86,12.89,38.21,99500.0,40.0,5.0,35.0,1921.0,0.0,1.0,3.0
9GAD9,8000.0,500.0,5952.64,2.0,14.0,7.0,7.0,75.0,28000.0,29.0,4.0,25.0,1927.0,0.0,1.0,2.0
CFRVF,,2000.0,3400.19,,30.0,18.0,12.0,200.0,90000.0,88.0,8.0,80.0,1924.0,0.0,1.0,2.0
JV6WH,,,1280.2,,8.31,7.84,2.12,35.7,,6.74,3.48,1.64,,0.0,0.0,
Z4NHN,,,1280.2,,8.31,7.84,2.12,35.7,,6.74,3.48,1.64,,0.0,0.0,
DLBL9,,,1280.2,,8.31,7.84,2.12,35.7,,6.74,3.48,1.64,,0.0,1.0,
BX03C,,,1280.2,,8.31,7.84,2.12,35.7,,6.74,3.48,1.64,,0.0,1.0,
8BR8J,8333.0,583.0,4676.58,,15.93,7.91,2.08,35.7,,30.0,1.0,29.0,1920.0,0.0,1.0,2.0
KJB5P,,,1280.2,,8.31,7.84,2.12,35.7,,6.74,3.48,1.64,,0.0,0.0,
OACOE,,,1275.96,,7.29,9.26,2.25,25.0,10400.0,6.74,2.83,1.64,1922.0,1.0,0.0,
8S7I4,,,1280.2,,8.31,7.84,2.12,35.7,,6.74,3.48,1.64,,0.0,0.0,
OSPCF,,,1280.2,,8.31,7.84,2.12,35.7,,6.74,3.48,1.64,,0.0,0.0,
U08TD,,,1227.52,,8.31,7.84,2.3,35.7,,6.74,3.48,1.64,1912.0,1.0,0.0,
3BRMP,,,1280.2,,8.31,7.84,2.12,35.7,,6.74,3.48,1.64,,0.0,1.0,
RCCFX,75000.0,2042.0,4795.3,,25.75,9.17,2.09,35.7,99500.0,60.0,4.0,48.87,1921.0,0.0,1.0,3.0
0CE69,,2042.0,2487.46,,24.39,8.5,1.34,35.7,150000.0,32.43,6.0,1.64,1921.0,0.0,1.0,3.0
QG542,,,1280.2,,8.31,7.84,2.12,35.7,,6.74,3.48,1.64,,1.0,0.0,
63TXI,,,1280.2,,8.31,7.84,2.12,35.7,,6.74,3.48,1.64,,1.0,0.0,
QNNG2,,,1280.2,,8.31,7.84,2.12,35.7,,6.74,3.48,1.64,,0.0,0.0,
IP0CO,,,1280.2,,8.31,7.84,2.12,35.7,,6.74,3.48,1.64,,1.0,0.0,
TGZAE,1000.0,40.0,1573.23,50.0,6.41,1.0,3.02,8.0,1600.0,4.0,3.0,1.0,1918.0,0.0,1.0,2.0
L4N60,8000.0,500.0,4546.25,,18.0,12.0,6.0,90.0,20000.0,6.0,2.0,4.0,1921.0,0.0,1.0,2.0
KQPTJ,5000.0,375.0,5849.91,16.0,7.0,4.0,3.0,45.0,15000.0,24.0,6.0,18.0,1914.0,0.0,1.0,2.0
UELBA,,200.0,3092.75,28.0,8.14,9.21,0.84,35.7,20000.0,20.0,6.0,14.0,1922.0,0.0,1.0,2.0
SDMB9,4000.0,125.0,2640.95,,8.0,4.0,2.0,17.0,15000.0,5.0,5.0,0.001,1922.0,0.0,1.0,2.0
